traveler_id,traveler_status,update_time,association
18201,2,25820,0
18315,2,25820,0
18556,2,25820,0
18558,2,25820,0
18941,2,25820,0
19726,2,25820,0
19729,2,25820,0
19914,2,25820,0
19917,2,25820,0
20336,2,25820,0
20596,2,25820,0
20617,2,25820,0
20937,2,25820,0
21132,2,25820,0
21265,2,25820,0
21529,2,25820,0
21575,2,25820,0
29054,2,25820,0
29406,2,25820,0
29866,2,25820,0
30008,2,25820,0
30231,2,25820,0
30699,2,25820,0
30874,2,25820,0
31114,2,25820,0
31219,2,25820,0
31229,2,25820,0
31581,2,25820,0
32240,2,25820,0
32364,2,25820,0
32609,2,25820,0
40443,2,25820,0
40535,2,25820,0
40574,2,25820,0
40662,2,25820,0
40795,2,25820,0
41229,2,25820,0
41411,2,25820,0
41441,2,25820,0
41847,2,25820,0
42017,2,25820,0
42160,2,25820,0
42338,2,25820,0
42397,2,25820,0
42426,2,25820,0
42641,2,25820,0
42968,2,25820,0
43253,2,25820,0
43637,2,25820,0
62576,2,25820,1
62823,2,25820,1
62827,2,25820,1
63175,2,25820,1
63304,2,25820,1
63460,2,25820,1
63639,2,25820,1
63844,2,25820,1
64440,2,25820,1
64709,2,25820,1
64823,2,25820,1
65001,2,25820,1
65266,2,25820,1
65401,2,25820,1
73280,2,25820,1
73329,2,25820,1
74071,2,25820,1
74295,2,25820,1
74360,2,25820,1
74402,2,25820,1
74406,2,25820,1
74416,2,25820,1
74549,2,25820,1
75006,2,25820,1
75172,2,25820,1
75230,2,25820,1
75659,2,25820,1
75753,2,25820,1
75895,2,25820,1
75934,2,25820,1
76284,2,25820,1
76494,2,25820,1
76523,2,25820,1
83996,2,25820,1
84282,2,25820,1
84373,2,25820,1
84464,2,25820,1
84514,2,25820,1
85269,2,25820,1
85653,2,25820,1
85797,2,25820,1
85806,2,25820,1
86368,2,25820,1
86559,2,25820,1
86561,2,25820,1
87090,2,25820,1
87419,2,25820,1
87426,2,25820,1
87547,2,25820,1
102318,2,25820,2
102386,2,25820,2
102585,2,25820,2
102634,2,25820,2
102849,2,25820,2
103276,2,25820,2
103323,2,25820,2
103675,2,25820,2
103919,2,25820,2
103943,2,25820,2
104627,2,25820,2
105338,2,25820,2
105568,2,25820,2
105640,2,25820,2
105725,2,25820,2
113486,2,25820,2
113508,2,25820,2
113698,2,25820,2
113776,2,25820,2
114286,2,25820,2
115086,2,25820,2
115312,2,25820,2
115960,2,25820,2
116311,2,25820,2
116415,2,25820,2
116493,2,25820,2
116691,2,25820,2
124068,2,25820,2
124436,2,25820,2
124670,2,25820,2
124831,2,25820,2
125312,2,25820,2
125994,2,25820,2
126022,2,25820,2
126077,2,25820,2
126216,2,25820,2
126303,2,25820,2
126469,2,25820,2
126641,2,25820,2
127043,2,25820,2
127046,2,25820,2
