traveler_id,traveler_status,update_time,association
18292,1,38720,14
18541,1,38720,14
18781,1,38720,14
19384,1,38720,14
19493,1,38720,14
19515,1,38720,14
19589,1,38720,14
19616,1,38720,14
19731,1,38720,14
20481,1,38720,14
20911,1,38720,14
20940,1,38720,14
20945,1,38720,14
20991,1,38720,14
21000,1,38720,14
29216,1,38720,14
29309,1,38720,14
29665,1,38720,14
29853,1,38720,14
29940,1,38720,14
30162,1,38720,14
30298,1,38720,14
30532,1,38720,14
30587,1,38720,14
30777,1,38720,14
31186,1,38720,14
31382,1,38720,14
31688,1,38720,14
32065,1,38720,14
32605,1,38720,14
43924,1,38720,14
44262,1,38720,14
44421,1,38720,14
44450,1,38720,14
44604,1,38720,14
44911,1,38720,14
45006,1,38720,14
45130,1,38720,14
45173,1,38720,14
45264,1,38720,14
45440,1,38720,14
45507,1,38720,14
45699,1,38720,14
46026,1,38720,14
46253,1,38720,14
46674,1,38720,14
46734,1,38720,14
62246,1,38720,23
62679,1,38720,23
63112,1,38720,23
63133,1,38720,23
63343,1,38720,23
63542,1,38720,23
63575,1,38720,23
63933,1,38720,23
63984,1,38720,23
64235,1,38720,23
64274,1,38720,23
64351,1,38720,23
64694,1,38720,23
65284,1,38720,23
73691,1,38720,23
74435,1,38720,23
74590,1,38720,23
74764,1,38720,23
74816,1,38720,23
75092,1,38720,23
75340,1,38720,23
75372,1,38720,23
75510,1,38720,23
75541,1,38720,23
75573,1,38720,23
76082,1,38720,23
76130,1,38720,23
76245,1,38720,23
76369,1,38720,23
76379,1,38720,23
76425,1,38720,23
87667,1,38720,23
87680,1,38720,23
87727,1,38720,23
88438,1,38720,23
88446,1,38720,23
88447,1,38720,23
88569,1,38720,23
88737,1,38720,23
88770,1,38720,23
88821,1,38720,23
88998,1,38720,23
90203,1,38720,23
90386,1,38720,23
90788,1,38720,23
90830,1,38720,23
90927,1,38720,23
91288,1,38720,23
91345,1,38720,23
102551,1,38720,20
102810,1,38720,20
102830,1,38720,20
102905,1,38720,20
103236,1,38720,20
103605,1,38720,20
103645,1,38720,20
103762,1,38720,20
103820,1,38720,20
103941,1,38720,20
104328,1,38720,20
104388,1,38720,20
104405,1,38720,20
104436,1,38720,20
105167,1,38720,20
105417,1,38720,20
105433,1,38720,20
105777,1,38720,20
113307,1,38720,20
113674,1,38720,20
113713,1,38720,20
113832,1,38720,20
114030,1,38720,20
114091,1,38720,20
114380,1,38720,20
114447,1,38720,20
114548,1,38720,20
114565,1,38720,20
114677,1,38720,20
114959,1,38720,20
115021,1,38720,20
115326,1,38720,20
115351,1,38720,20
115365,1,38720,20
115886,1,38720,20
116117,1,38720,20
116236,1,38720,20
116345,1,38720,20
116414,1,38720,20
116519,1,38720,20
116757,1,38720,20
127811,1,38720,20
127932,1,38720,20
128364,1,38720,20
128812,1,38720,20
128937,1,38720,20
129196,1,38720,20
129887,1,38720,20
130495,1,38720,20
130790,1,38720,20
130966,1,38720,20
131006,1,38720,20
131070,1,38720,20
131151,1,38720,20
131197,1,38720,20
138882,1,38720,19
138971,1,38720,19
138973,1,38720,19
139555,1,38720,19
139598,1,38720,19
140288,1,38720,19
141797,1,38720,19
149396,1,38720,19
149410,1,38720,19
149686,1,38720,19
149879,1,38720,19
150486,1,38720,19
150687,1,38720,19
150766,1,38720,19
151199,1,38720,19
151267,1,38720,19
151303,1,38720,19
151676,1,38720,19
151691,1,38720,19
151796,1,38720,19
151960,1,38720,19
152181,1,38720,19
152182,1,38720,19
152597,1,38720,19
164110,1,38720,19
164394,1,38720,19
164546,1,38720,19
164688,1,38720,19
164840,1,38720,19
164946,1,38720,19
165202,1,38720,19
165313,1,38720,19
165857,1,38720,19
165904,1,38720,19
165912,1,38720,19
166071,1,38720,19
166121,1,38720,19
166154,1,38720,19
166220,1,38720,19
166486,1,38720,19
166774,1,38720,19
166812,1,38720,19
166843,1,38720,19
166986,1,38720,19
167440,1,38720,19
167556,1,38720,19
171580,1,38720,25
171616,1,38720,25
171908,1,38720,25
172154,1,38720,25
172245,1,38720,25
172266,1,38720,25
172316,1,38720,25
172329,1,38720,25
172470,1,38720,25
172495,1,38720,25
172598,1,38720,25
172765,1,38720,25
172828,1,38720,25
172945,1,38720,25
172949,1,38720,25
173303,1,38720,25
173397,1,38720,25
173421,1,38720,25
173508,1,38720,25
173515,1,38720,25
173949,1,38720,25
174083,1,38720,25
175125,1,38720,25
182510,1,38720,25
182738,1,38720,25
183064,1,38720,25
183166,1,38720,25
183178,1,38720,25
183207,1,38720,25
183216,1,38720,25
183423,1,38720,25
183453,1,38720,25
183771,1,38720,25
183785,1,38720,25
183889,1,38720,25
184111,1,38720,25
184445,1,38720,25
184590,1,38720,25
184855,1,38720,25
184877,1,38720,25
184925,1,38720,25
185475,1,38720,25
185496,1,38720,25
185688,1,38720,25
197255,1,38720,25
197261,1,38720,25
197375,1,38720,25
197438,1,38720,25
197734,1,38720,25
197908,1,38720,25
198037,1,38720,25
198120,1,38720,25
198365,1,38720,25
198404,1,38720,25
198783,1,38720,25
199158,1,38720,25
199260,1,38720,25
199356,1,38720,25
199464,1,38720,25
199505,1,38720,25
199719,1,38720,25
199961,1,38720,25
200079,1,38720,25
200130,1,38720,25
200676,1,38720,25
200818,1,38720,18
201076,1,38720,18
201540,1,38720,18
201752,1,38720,18
201772,1,38720,18
201830,1,38720,18
201861,1,38720,18
201874,1,38720,18
201931,1,38720,18
202075,1,38720,18
202297,1,38720,18
202474,1,38720,18
202558,1,38720,18
202580,1,38720,18
202713,1,38720,18
203019,1,38720,18
203370,1,38720,18
203585,1,38720,18
