traveler_id,traveler_status,update_time,association
22085,1,35720,14
22127,1,35720,14
22258,1,35720,14
22278,1,35720,14
22293,1,35720,14
22349,1,35720,14
22362,1,35720,14
22425,1,35720,14
22432,1,35720,14
22435,1,35720,14
22484,1,35720,14
22694,1,35720,14
23351,1,35720,14
23424,1,35720,14
23497,1,35720,14
23690,1,35720,14
24130,1,35720,14
24178,1,35720,14
24413,1,35720,14
24456,1,35720,14
24509,1,35720,14
24819,1,35720,14
25030,1,35720,14
65892,1,35720,23
65906,1,35720,23
65911,1,35720,23
66111,1,35720,23
66134,1,35720,23
66303,1,35720,23
66406,1,35720,23
66463,1,35720,23
66633,1,35720,23
66892,1,35720,23
66922,1,35720,23
67294,1,35720,23
68082,1,35720,23
68506,1,35720,23
68520,1,35720,23
68561,1,35720,23
68633,1,35720,23
68729,1,35720,23
68966,1,35720,23
69040,1,35720,23
69140,1,35720,23
69194,1,35720,23
105893,1,35720,20
105894,1,35720,20
106039,1,35720,20
106170,1,35720,20
106378,1,35720,20
106398,1,35720,20
106533,1,35720,20
106581,1,35720,20
106691,1,35720,20
106945,1,35720,20
106996,1,35720,20
107032,1,35720,20
107128,1,35720,20
107134,1,35720,20
107143,1,35720,20
107229,1,35720,20
107371,1,35720,20
108239,1,35720,20
108356,1,35720,20
108569,1,35720,20
108617,1,35720,20
108662,1,35720,20
108733,1,35720,20
108843,1,35720,20
109056,1,35720,20
109131,1,35720,20
109352,1,35720,20
109537,1,35720,20
142380,1,35720,19
142483,1,35720,19
142582,1,35720,19
142629,1,35720,19
142712,1,35720,19
143038,1,35720,19
143134,1,35720,19
143268,1,35720,19
143524,1,35720,19
143679,1,35720,19
143697,1,35720,19
143854,1,35720,19
143858,1,35720,19
144031,1,35720,19
144064,1,35720,19
144264,1,35720,19
144397,1,35720,19
144417,1,35720,19
144586,1,35720,19
144708,1,35720,19
144821,1,35720,19
144914,1,35720,19
145148,1,35720,19
145299,1,35720,19
145507,1,35720,19
145578,1,35720,19
145661,1,35720,19
175283,1,35720,25
175293,1,35720,25
175392,1,35720,25
175581,1,35720,25
175772,1,35720,25
175974,1,35720,25
176012,1,35720,25
176016,1,35720,25
176034,1,35720,25
176268,1,35720,25
176424,1,35720,25
176488,1,35720,25
176507,1,35720,25
176530,1,35720,25
176540,1,35720,25
176552,1,35720,25
176674,1,35720,25
176854,1,35720,25
177043,1,35720,25
177086,1,35720,25
177307,1,35720,25
177724,1,35720,25
177808,1,35720,25
177922,1,35720,25
178066,1,35720,25
178141,1,35720,25
178255,1,35720,25
178259,1,35720,25
178275,1,35720,25
178359,1,35720,25
178406,1,35720,25
178747,1,35720,25
204559,1,35720,18
204792,1,35720,18
204940,1,35720,18
205488,1,35720,18
205500,1,35720,18
205512,1,35720,18
205532,1,35720,18
205553,1,35720,18
205635,1,35720,18
205770,1,35720,18
205853,1,35720,18
205923,1,35720,18
205966,1,35720,18
206280,1,35720,18
206512,1,35720,18
206599,1,35720,18
206605,1,35720,18
206650,1,35720,18
206927,1,35720,18
207205,1,35720,18
207468,1,35720,18
207563,1,35720,18
207634,1,35720,18
207686,1,35720,18
207689,1,35720,18
230246,1,35720,27
230281,1,35720,27
230365,1,35720,27
230605,1,35720,27
230792,1,35720,27
230844,1,35720,27
230857,1,35720,27
230859,1,35720,27
230886,1,35720,27
230974,1,35720,27
231047,1,35720,27
231090,1,35720,27
231130,1,35720,27
231133,1,35720,27
231147,1,35720,27
231217,1,35720,27
231228,1,35720,27
231243,1,35720,27
231308,1,35720,27
231311,1,35720,27
231345,1,35720,27
231362,1,35720,27
231719,1,35720,27
231926,1,35720,27
231931,1,35720,27
232018,1,35720,27
232240,1,35720,27
232374,1,35720,27
232381,1,35720,27
232462,1,35720,27
232513,1,35720,27
232525,1,35720,27
232576,1,35720,27
232783,1,35720,27
232831,1,35720,27
232882,1,35720,27
232916,1,35720,27
233243,1,35720,27
233362,1,35720,27
233386,1,35720,27
40205,2,35720,0
40211,2,35720,0
40245,2,35720,0
40285,2,35720,0
40498,2,35720,0
40505,2,35720,0
40559,2,35720,0
40776,2,35720,0
40778,2,35720,0
40848,2,35720,0
40862,2,35720,0
40975,2,35720,0
41092,2,35720,0
41130,2,35720,0
41293,2,35720,0
41591,2,35720,0
41645,2,35720,0
41744,2,35720,0
41938,2,35720,0
42094,2,35720,0
42210,2,35720,0
42618,2,35720,0
42634,2,35720,0
42760,2,35720,0
43014,2,35720,0
43197,2,35720,0
43323,2,35720,0
43421,2,35720,0
43538,2,35720,0
43563,2,35720,0
43625,2,35720,0
43737,2,35720,0
84102,2,35720,1
84134,2,35720,1
84137,2,35720,1
84155,2,35720,1
84189,2,35720,1
84516,2,35720,1
84621,2,35720,1
85099,2,35720,1
85134,2,35720,1
85326,2,35720,1
85338,2,35720,1
85505,2,35720,1
85612,2,35720,1
85667,2,35720,1
85741,2,35720,1
86095,2,35720,1
86229,2,35720,1
86323,2,35720,1
86419,2,35720,1
86427,2,35720,1
86567,2,35720,1
86751,2,35720,1
86948,2,35720,1
87385,2,35720,1
87482,2,35720,1
87541,2,35720,1
87598,2,35720,1
87633,2,35720,1
124414,2,35720,2
124585,2,35720,2
124803,2,35720,2
125256,2,35720,2
125333,2,35720,2
125648,2,35720,2
125838,2,35720,2
125929,2,35720,2
126124,2,35720,2
126258,2,35720,2
126273,2,35720,2
126356,2,35720,2
126750,2,35720,2
126877,2,35720,2
127084,2,35720,2
127208,2,35720,2
127245,2,35720,2
127492,2,35720,2
160484,2,35720,3
160665,2,35720,3
160854,2,35720,3
161045,2,35720,3
161237,2,35720,3
161379,2,35720,3
161401,2,35720,3
161429,2,35720,3
161750,2,35720,3
161790,2,35720,3
162309,2,35720,3
162378,2,35720,3
162476,2,35720,3
162603,2,35720,3
162663,2,35720,3
162758,2,35720,3
163160,2,35720,3
163231,2,35720,3
163259,2,35720,3
163282,2,35720,3
163425,2,35720,3
163452,2,35720,3
163633,2,35720,3
163657,2,35720,3
163667,2,35720,3
163751,2,35720,3
163995,2,35720,3
193445,2,35720,4
193625,2,35720,4
193725,2,35720,4
193906,2,35720,4
193929,2,35720,4
194238,2,35720,4
194332,2,35720,4
194659,2,35720,4
194705,2,35720,4
194721,2,35720,4
195016,2,35720,4
195039,2,35720,4
195060,2,35720,4
195768,2,35720,4
195987,2,35720,4
196002,2,35720,4
196032,2,35720,4
196037,2,35720,4
196194,2,35720,4
196910,2,35720,4
223049,2,35720,5
223111,2,35720,5
223606,2,35720,5
223619,2,35720,5
223739,2,35720,5
