traveler_id,traveler_status,update_time,association
28990,1,37520,14
29035,1,37520,14
29132,1,37520,14
29168,1,37520,14
29217,1,37520,14
29282,1,37520,14
29375,1,37520,14
29439,1,37520,14
29608,1,37520,14
29776,1,37520,14
30146,1,37520,14
30228,1,37520,14
30261,1,37520,14
30296,1,37520,14
30300,1,37520,14
30317,1,37520,14
30489,1,37520,14
30548,1,37520,14
30876,1,37520,14
30983,1,37520,14
31700,1,37520,14
31763,1,37520,14
31776,1,37520,14
31777,1,37520,14
32122,1,37520,14
32215,1,37520,14
32453,1,37520,14
73107,1,37520,23
73274,1,37520,23
73502,1,37520,23
74202,1,37520,23
74223,1,37520,23
74455,1,37520,23
74547,1,37520,23
74565,1,37520,23
74620,1,37520,23
74665,1,37520,23
74685,1,37520,23
74823,1,37520,23
74892,1,37520,23
74942,1,37520,23
75038,1,37520,23
75050,1,37520,23
75402,1,37520,23
75406,1,37520,23
75741,1,37520,23
75866,1,37520,23
76128,1,37520,23
76193,1,37520,23
76616,1,37520,23
113213,1,37520,20
113462,1,37520,20
113511,1,37520,20
113543,1,37520,20
113559,1,37520,20
113668,1,37520,20
113755,1,37520,20
113817,1,37520,20
113840,1,37520,20
113861,1,37520,20
113883,1,37520,20
114167,1,37520,20
114420,1,37520,20
114425,1,37520,20
114621,1,37520,20
114635,1,37520,20
114777,1,37520,20
114807,1,37520,20
114976,1,37520,20
115099,1,37520,20
115108,1,37520,20
115138,1,37520,20
115348,1,37520,20
115373,1,37520,20
115374,1,37520,20
115597,1,37520,20
115620,1,37520,20
115890,1,37520,20
115977,1,37520,20
116135,1,37520,20
116151,1,37520,20
116505,1,37520,20
116565,1,37520,20
116620,1,37520,20
116630,1,37520,20
116650,1,37520,20
116764,1,37520,20
116778,1,37520,20
149693,1,37520,19
149884,1,37520,19
150141,1,37520,19
150166,1,37520,19
150327,1,37520,19
150495,1,37520,19
150550,1,37520,19
150644,1,37520,19
150689,1,37520,19
150957,1,37520,19
150991,1,37520,19
