trip_id,status,location,cx,cy,ux,uy
15351,on_link,upward-Nehru Enclave-upward-Greater Kailash,77.24857659999999,28.545052000000002,-0.012917000000001622,-0.004020000000000579
15352,on_link,upward-Sukhdev Vihar-upward-Okhla NSIC,77.2730668,28.5588246,-0.010245999999995092,-0.005311999999999983
15353,on_link,upward-Jasola Vihar Shaheen Bagh-upward-Okhla Vihar,77.2957552,28.549055,-0.004799000000005549,0.01524999999999821
15354,on_link,upward-Okhla Bird Sanctuary-upward-Kalindi Kunj,77.3192858,28.5508198,-0.011390999999989049,-0.009980999999999796
15355,stop,upward-Botanical Garden,77.334656,28.564198,0.0,0.0
