trip_id,status,location,cx,cy,ux,uy
15385,on_link,upward-Panchsheel Park-upward-Hauz Khas,77.2177442,28.5425404,-0.013839000000004376,0.0010070000000013124
15386,on_link,upward-Greater Kailash-upward-Chirag Delhi,77.2364714,28.5417146,-0.008858000000003585,-0.0006069999999986919
15387,stop,upward-Kalkaji Mandir,77.258789,28.549532,0.0,0.0
15388,stop,upward-Sukhdev Vihar,77.275116,28.559887,0.0,0.0
15389,on_link,upward-Okhla Vihar-upward-Jamia Millia Islamia,77.2907746,28.5615928,-0.005707000000001017,0.001689000000002494
15390,on_link,upward-Kalindi Kunj-upward-Jasola Vihar Shaheen Bagh,77.3074814,28.543469,-0.01345799999999997,0.0031700000000007833
15391,on_link,upward-Botanical Garden-upward-Okhla Bird Sanctuary,77.33203759999999,28.5619216,-0.013092000000000326,-0.011382000000001113
