trip_id,status,location,cx,cy,ux,uy
15360,stop,upward-Chirag Delhi,77.229385,28.541229,0.0,0.0
15361,on_link,upward-Okhla NSIC-upward-Kalkaji Mandir,77.2636538,28.5535664,-0.006081000000008885,-0.005043000000000575
15362,on_link,upward-Jamia Millia Islamia-upward-Sukhdev Vihar,77.2839904,28.5623326,-0.011093000000002462,-0.0030570000000018638
15363,on_link,upward-Jasola Vihar Shaheen Bagh-upward-Okhla Vihar,77.2957552,28.549055,-0.004799000000005549,0.01524999999999821
15364,stop,upward-Okhla Bird Sanctuary,77.321564,28.552816,0.0,0.0
